epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.42,3.77756,4.54316,4.27969,0.00467,0.01418,0.00164,0.00044,3.1185,6.1497,4.57765,0.00332818,0.00332818,0.00332818
2,199.821,2.46807,2.56205,2.79475,0.84713,0.36418,0.38406,0.19555,1.62736,1.96678,1.90526,0.00662854,0.00662854,0.00662854
3,284.765,1.94143,1.75475,2.03154,0.88976,0.37463,0.42749,0.19299,1.72528,2.02712,1.85882,0.0098959,0.0098959,0.0098959
4,368.352,1.79634,1.55058,1.84693,0.89422,0.3866,0.42992,0.24111,1.4836,1.31123,1.53605,0.0098515,0.0098515,0.0098515
5,452.618,1.72171,1.42836,1.73556,0.91672,0.4194,0.47004,0.244,1.5943,1.11922,1.5375,0.009802,0.009802,0.009802
6,536.869,1.66901,1.32761,1.67269,0.91635,0.43209,0.50616,0.27448,1.53801,1.40285,1.4581,0.0097525,0.0097525,0.0097525
7,621.945,1.62612,1.2659,1.63037,0.93195,0.43358,0.52837,0.29814,1.4323,1.24201,1.40914,0.009703,0.009703,0.009703
8,706.583,1.60023,1.20728,1.6075,0.44866,0.54731,0.56489,0.34056,1.36919,0.88536,1.34974,0.0096535,0.0096535,0.0096535
9,792.138,1.58208,1.17835,1.58842,0.45625,0.58731,0.57409,0.33517,1.34482,0.95255,1.32177,0.009604,0.009604,0.009604
10,877.568,1.56373,1.13642,1.56412,0.47244,0.62881,0.58634,0.36222,1.31826,0.78748,1.30983,0.0095545,0.0095545,0.0095545
11,962.941,1.55092,1.11605,1.55313,0.4548,0.67328,0.59413,0.37015,1.26532,0.71767,1.25365,0.009505,0.009505,0.009505
12,1048.2,1.52957,1.09041,1.53845,0.60613,0.65985,0.62397,0.41283,1.16709,0.69106,1.22634,0.0094555,0.0094555,0.0094555
13,1132.66,1.51264,1.0786,1.52248,0.82812,0.52806,0.57681,0.37656,1.20153,0.82007,1.22977,0.009406,0.009406,0.009406
14,1216.95,1.48485,1.04223,1.50223,0.69523,0.60001,0.69588,0.42974,1.29063,0.89514,1.26482,0.0093565,0.0093565,0.0093565
15,1301.33,1.48054,1.04776,1.49896,0.59615,0.66433,0.65085,0.42948,1.22979,0.76683,1.23821,0.009307,0.009307,0.009307
16,1385.84,1.47615,1.03284,1.49172,0.54525,0.59254,0.64665,0.41441,1.2561,0.70011,1.25955,0.0092575,0.0092575,0.0092575
17,1470.73,1.45251,1.01018,1.47723,0.63616,0.61463,0.64841,0.42265,1.22046,0.63248,1.22953,0.009208,0.009208,0.009208
18,1555.45,1.44653,0.99738,1.46621,0.78178,0.60567,0.67204,0.4304,1.20007,0.68892,1.21295,0.0091585,0.0091585,0.0091585
