epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7781,3.12418,3.46934,3.54996,0.82284,0.30149,0.32568,0.15396,1.78997,2.26695,2.23953,0.00332818,0.00332818,0.00332818
2,160.156,1.89633,1.77345,2.09738,0.91284,0.38806,0.44283,0.25399,1.4592,1.39644,1.77444,0.00659557,0.00659557,0.00659557
3,225.059,1.60448,1.44112,1.76743,0.89433,0.41496,0.44657,0.27087,1.27302,1.36866,1.58994,0.00979695,0.00979695,0.00979695
4,289.09,1.46573,1.2434,1.63179,0.9347,0.41235,0.51867,0.27743,1.46484,1.51195,1.68777,0.009703,0.009703,0.009703
5,353.86,1.37946,1.09344,1.55979,0.46922,0.51761,0.51671,0.31975,1.2884,0.85554,1.50933,0.009604,0.009604,0.009604
6,417.879,1.33896,1.0148,1.51202,0.94822,0.44925,0.54168,0.37743,1.00438,0.73748,1.3084,0.009505,0.009505,0.009505
7,481.945,1.26122,0.95852,1.44799,0.44646,0.57254,0.5869,0.43888,0.84407,0.70252,1.19698,0.009406,0.009406,0.009406
8,546.582,1.22317,0.91452,1.41629,0.64079,0.60011,0.61277,0.45262,0.89886,0.63124,1.19901,0.009307,0.009307,0.009307
9,611.258,1.19932,0.88173,1.40222,0.63211,0.60657,0.62581,0.47326,0.80779,0.60801,1.14859,0.009208,0.009208,0.009208
10,675.572,1.17226,0.84814,1.37926,0.50431,0.63803,0.62312,0.48716,0.77455,0.77755,1.11114,0.009109,0.009109,0.009109
11,739.805,1.15581,0.834,1.36459,0.57848,0.67676,0.62549,0.48421,0.72778,0.60289,1.06831,0.00901,0.00901,0.00901
12,804.632,1.13769,0.81448,1.35425,0.55223,0.77104,0.65745,0.48772,0.71457,0.50569,1.0648,0.008911,0.008911,0.008911
13,869.803,1.12224,0.79276,1.33962,0.64932,0.75252,0.68336,0.51838,0.69421,0.58063,1.04768,0.008812,0.008812,0.008812
14,934.616,1.11528,0.78506,1.33892,0.71604,0.68246,0.70672,0.53021,0.69101,0.5124,1.0449,0.008713,0.008713,0.008713
15,999.671,1.10131,0.76646,1.32902,0.78859,0.69328,0.77334,0.59847,0.68103,0.62023,1.04151,0.008614,0.008614,0.008614
16,1064.79,1.09434,0.75757,1.32235,0.641,0.79254,0.74601,0.55478,0.68972,0.49094,1.03513,0.008515,0.008515,0.008515
17,1129.86,1.09276,0.74969,1.32053,0.73272,0.68433,0.73723,0.58861,0.69761,0.60873,1.05492,0.008416,0.008416,0.008416
18,1194.49,1.07915,0.73728,1.30781,0.68689,0.81552,0.77616,0.59135,0.66688,0.47168,1.03242,0.008317,0.008317,0.008317
19,1259.59,1.07077,0.73299,1.30732,0.76364,0.73617,0.79731,0.64171,0.6569,0.42914,1.01795,0.008218,0.008218,0.008218
20,1325.28,1.06694,0.72647,1.29824,0.83308,0.69262,0.77977,0.62186,0.6455,0.42215,1.01183,0.008119,0.008119,0.008119
21,1390.63,1.05981,0.72152,1.29321,0.76607,0.81254,0.83969,0.68729,0.63355,0.47677,0.99274,0.00802,0.00802,0.00802
22,1454.76,1.05841,0.71378,1.28975,0.7517,0.87401,0.83602,0.66841,0.6137,0.4354,0.99577,0.007921,0.007921,0.007921
23,1520.12,1.04969,0.7085,1.28323,0.73258,0.76341,0.79766,0.64105,0.6309,0.41388,0.99681,0.007822,0.007822,0.007822
24,1584.75,1.04487,0.70595,1.27808,0.84077,0.76657,0.81017,0.65588,0.60246,0.4035,0.98528,0.007723,0.007723,0.007723
25,1650.12,1.04054,0.70135,1.28098,0.83384,0.76588,0.81904,0.68794,0.61779,0.40256,0.98908,0.007624,0.007624,0.007624
26,1715.94,1.03714,0.69219,1.27221,0.71965,0.85552,0.83041,0.66906,0.62812,0.4045,1.00218,0.007525,0.007525,0.007525
27,1781.02,1.03242,0.68161,1.26812,0.80612,0.79174,0.85116,0.68569,0.62071,0.38962,1.0041,0.007426,0.007426,0.007426
28,1846.35,1.0233,0.67154,1.25978,0.92261,0.7668,0.83391,0.67457,0.59728,0.3654,0.96753,0.007327,0.007327,0.007327
29,1911.8,1.02344,0.67841,1.25943,0.88571,0.78955,0.83253,0.67496,0.58946,0.38472,0.96554,0.007228,0.007228,0.007228
30,1975.72,1.02496,0.67522,1.26458,0.82921,0.8303,0.85562,0.71772,0.59768,0.37561,0.9775,0.007129,0.007129,0.007129
31,2040.71,1.01724,0.67051,1.25985,0.85992,0.78955,0.85911,0.70891,0.60551,0.36465,0.97482,0.00703,0.00703,0.00703
32,2105.45,1.00765,0.66415,1.24865,0.89239,0.78806,0.8722,0.7291,0.58613,0.36084,0.96121,0.006931,0.006931,0.006931
33,2171.17,1.00641,0.65739,1.25193,0.90962,0.76882,0.86098,0.71085,0.58826,0.36285,0.95984,0.006832,0.006832,0.006832
34,2235.59,1.00794,0.65805,1.25046,0.79601,0.8692,0.87529,0.71121,0.57962,0.36722,0.96029,0.006733,0.006733,0.006733
35,2300.85,1.00356,0.65393,1.24832,0.8263,0.85104,0.86426,0.72286,0.58126,0.37528,0.95675,0.006634,0.006634,0.006634
36,2366.01,0.99968,0.65012,1.24588,0.93089,0.80657,0.88542,0.7276,0.58946,0.35035,0.96823,0.006535,0.006535,0.006535
37,2430.96,0.99829,0.64662,1.24622,0.91682,0.78943,0.88743,0.72785,0.56572,0.34574,0.94619,0.006436,0.006436,0.006436
38,2495.69,0.99248,0.64157,1.24339,0.88976,0.80638,0.87271,0.72762,0.56715,0.3538,0.94363,0.006337,0.006337,0.006337
39,2561.07,0.99107,0.63572,1.23581,0.87046,0.84399,0.91068,0.75286,0.58915,0.34319,0.97192,0.006238,0.006238,0.006238
40,2626.05,0.99253,0.63817,1.23983,0.87086,0.84735,0.88319,0.72456,0.57052,0.3498,0.95578,0.006139,0.006139,0.006139
41,2691.3,0.98111,0.6279,1.23389,0.94124,0.84731,0.9026,0.7559,0.58711,0.3405,0.97012,0.00604,0.00604,0.00604
42,2757.02,0.98398,0.63061,1.22903,0.80727,0.85435,0.87757,0.73019,0.57657,0.33376,0.96105,0.005941,0.005941,0.005941
43,2821.88,0.98252,0.62817,1.23051,0.89246,0.82507,0.89007,0.75068,0.5543,0.32738,0.93784,0.005842,0.005842,0.005842
44,2887.17,0.97694,0.62349,1.22887,0.89176,0.82806,0.88651,0.74102,0.54391,0.33231,0.93721,0.005743,0.005743,0.005743
45,2951.9,0.98253,0.62519,1.23035,0.92169,0.89104,0.93253,0.78389,0.54377,0.33688,0.93185,0.005644,0.005644,0.005644
46,3017.22,0.97635,0.62071,1.22312,0.8978,0.86912,0.91279,0.7635,0.54424,0.32337,0.93187,0.005545,0.005545,0.005545
47,3082.09,0.97118,0.61502,1.22278,0.90366,0.88515,0.92641,0.77145,0.54787,0.32054,0.93059,0.005446,0.005446,0.005446
48,3147.39,0.96639,0.61379,1.21758,0.92924,0.833,0.91354,0.76047,0.53766,0.31819,0.92888,0.005347,0.005347,0.005347
49,3212,0.96758,0.60813,1.22082,0.93256,0.88848,0.92487,0.78205,0.53024,0.31206,0.92255,0.005248,0.005248,0.005248
50,3277.35,0.96793,0.60885,1.21849,0.91492,0.8892,0.94359,0.80235,0.54078,0.31174,0.92388,0.005149,0.005149,0.005149
51,3342.74,0.96127,0.60582,1.21452,0.93275,0.89962,0.94203,0.80626,0.5359,0.30649,0.92101,0.00505,0.00505,0.00505
52,3407.48,0.96092,0.6041,1.2115,0.89249,0.90289,0.94056,0.80555,0.52709,0.31401,0.9156,0.004951,0.004951,0.004951
53,3472.99,0.9621,0.60263,1.21607,0.9327,0.88346,0.94034,0.79301,0.52414,0.3104,0.91685,0.004852,0.004852,0.004852
54,3538.32,0.95716,0.59612,1.21453,0.95138,0.88707,0.92839,0.78072,0.51925,0.3095,0.91439,0.004753,0.004753,0.004753
55,3601.79,0.95346,0.59817,1.20824,0.93647,0.90192,0.92823,0.78469,0.5203,0.30612,0.91651,0.004654,0.004654,0.004654
56,3666.76,0.95132,0.59294,1.20187,0.89706,0.89254,0.93048,0.79375,0.5139,0.30092,0.90753,0.004555,0.004555,0.004555
57,3731.29,0.94432,0.58345,1.20159,0.93516,0.90967,0.94043,0.79409,0.51587,0.29792,0.90834,0.004456,0.004456,0.004456
58,3796.75,0.94341,0.58196,1.19721,0.95747,0.8666,0.94227,0.80833,0.5227,0.29795,0.90796,0.004357,0.004357,0.004357
59,3861.98,0.94567,0.58465,1.1986,0.95125,0.88916,0.94003,0.78867,0.52557,0.29747,0.91191,0.004258,0.004258,0.004258
60,3927.12,0.94494,0.5858,1.2012,0.93329,0.89242,0.9344,0.78089,0.52128,0.29845,0.91292,0.004159,0.004159,0.004159
61,3991.41,0.94638,0.58805,1.20332,0.96106,0.88968,0.93729,0.79305,0.51732,0.29327,0.91155,0.00406,0.00406,0.00406
62,4056.39,0.9418,0.5808,1.19832,0.91489,0.90942,0.93969,0.80082,0.51557,0.29125,0.91095,0.003961,0.003961,0.003961
63,4121.91,0.93735,0.57647,1.19605,0.9354,0.91227,0.94106,0.80161,0.51384,0.29446,0.90867,0.003862,0.003862,0.003862
64,4186.77,0.93749,0.57925,1.19473,0.93631,0.93328,0.94504,0.81236,0.5165,0.29096,0.9079,0.003763,0.003763,0.003763
