epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4038,3.08796,3.3166,3.5358,0.75198,0.28955,0.24865,0.10163,1.90327,9.08854,2.24125,0.00332818,0.00332818,0.00332818
2,129.089,2.05224,1.918,2.22821,0.88443,0.35672,0.40867,0.21945,1.54436,1.60827,1.75294,0.00662854,0.00662854,0.00662854
3,188.728,1.83519,1.63405,1.94078,0.91299,0.37549,0.43662,0.2163,1.67678,1.59262,1.75068,0.0098959,0.0098959,0.0098959
4,248.427,1.74113,1.45052,1.83714,0.92806,0.42164,0.47949,0.24285,1.68931,1.11905,1.73755,0.0098515,0.0098515,0.0098515
5,307.246,1.67109,1.31669,1.75528,0.93432,0.43582,0.53098,0.27911,1.56113,0.96531,1.58679,0.009802,0.009802,0.009802
6,366.23,1.61487,1.22669,1.70909,0.43719,0.58209,0.53442,0.26,1.70751,1.64464,1.67576,0.0097525,0.0097525,0.0097525
7,425.841,1.56299,1.16488,1.66492,0.44076,0.56731,0.54148,0.32972,1.28291,1.1034,1.39036,0.009703,0.009703,0.009703
8,484.543,1.51785,1.11282,1.62804,0.42044,0.57679,0.58196,0.35413,1.27306,1.02628,1.3918,0.0096535,0.0096535,0.0096535
9,543.874,1.48418,1.08829,1.60758,0.49494,0.66582,0.59256,0.34847,1.39271,0.87453,1.45109,0.009604,0.009604,0.009604
10,602.755,1.46018,1.0427,1.58105,0.55812,0.62329,0.6204,0.39623,1.23686,0.84457,1.38652,0.0095545,0.0095545,0.0095545
11,662.052,1.44124,1.03076,1.56501,0.59429,0.59417,0.62246,0.3886,1.25879,0.76859,1.35747,0.009505,0.009505,0.009505
12,720.761,1.41971,1.00985,1.55253,0.58394,0.66806,0.65947,0.43466,1.16951,0.66061,1.31721,0.0094555,0.0094555,0.0094555
13,780.022,1.40442,0.99882,1.53921,0.54164,0.61104,0.62973,0.40744,1.15806,0.71723,1.30445,0.009406,0.009406,0.009406
14,839.21,1.386,0.96316,1.52802,0.63889,0.68507,0.69575,0.44978,1.15069,0.61922,1.29142,0.0093565,0.0093565,0.0093565
