epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.555,7.17852,12.4416,8.42471,0.62603,0.11866,0.07382,0.01915,4.96087,11.7194,6.5319,0.00332818,0.00332818,0.00332818
2,400.556,4.5126,5.24252,5.04561,0.76905,0.2806,0.29422,0.15178,3.12091,4.28257,3.83984,0.00662854,0.00662854,0.00662854
3,583.347,3.78762,3.62457,4.01019,0.85455,0.3238,0.39663,0.21989,2.90793,2.9886,3.44019,0.0098959,0.0098959,0.0098959
4,765.456,3.5339,3.0355,3.75383,0.86367,0.39552,0.44623,0.23858,3.06631,2.29586,3.42749,0.0098515,0.0098515,0.0098515
5,947.401,3.38642,2.69743,3.58813,0.90358,0.42612,0.49289,0.28174,2.86457,1.67039,3.22999,0.009802,0.009802,0.009802
6,1129.29,3.27144,2.47937,3.49955,0.9111,0.44179,0.5239,0.31094,2.68144,1.79452,3.04929,0.0097525,0.0097525,0.0097525
7,1310.91,3.14844,2.32975,3.39859,0.42419,0.56358,0.54444,0.33415,2.61058,1.96673,2.98322,0.009703,0.009703,0.009703
8,1492.37,3.02688,2.21897,3.31136,0.48217,0.62358,0.5816,0.38137,2.22619,1.51271,2.75645,0.0096535,0.0096535,0.0096535
9,1674.07,2.93826,2.16043,3.26036,0.52979,0.55382,0.55409,0.37838,2.12621,1.22537,2.68302,0.009604,0.009604,0.009604
10,1855.82,2.881,2.05987,3.19273,0.54148,0.64731,0.58799,0.40033,2.20151,1.23867,2.76698,0.0095545,0.0095545,0.0095545
11,2037.35,2.83427,2.03196,3.15109,0.49289,0.54955,0.54558,0.34354,2.4296,1.48514,2.85608,0.009505,0.009505,0.009505
12,2219.07,2.78539,1.98331,3.12459,0.56876,0.70657,0.61768,0.43706,1.87591,1.05206,2.50254,0.0094555,0.0094555,0.0094555
13,2401.03,2.75384,1.94783,3.09373,0.54691,0.67328,0.6425,0.44971,1.95808,0.97475,2.51608,0.009406,0.009406,0.009406
14,2582.81,2.70914,1.89309,3.07334,0.64996,0.66881,0.66683,0.46148,1.83873,1.03405,2.44945,0.0093565,0.0093565,0.0093565
15,2764.7,2.69155,1.89725,3.06115,0.59848,0.70782,0.64872,0.46843,1.7952,0.86935,2.43474,0.009307,0.009307,0.009307
16,2946.68,2.67682,1.86845,3.03861,0.71125,0.60881,0.69386,0.47416,1.96182,1.00084,2.54866,0.0092575,0.0092575,0.0092575
17,3128.87,2.64077,1.83531,3.02244,0.58275,0.75104,0.69243,0.49529,1.84695,0.86317,2.45415,0.009208,0.009208,0.009208
18,3311.02,2.62828,1.81583,3.0097,0.70136,0.69104,0.71898,0.53505,1.81778,0.9383,2.42594,0.0091585,0.0091585,0.0091585
19,3492.97,2.6007,1.79847,2.99677,0.85862,0.61463,0.72023,0.52256,1.83084,0.89137,2.4326,0.009109,0.009109,0.009109
20,3674.94,2.59874,1.78041,2.97414,0.70888,0.62955,0.69337,0.49982,1.79884,0.87253,2.46822,0.0090595,0.0090595,0.0090595
21,3856.84,2.55855,1.74442,2.96199,0.66492,0.7103,0.73312,0.55948,1.61873,0.79001,2.30566,0.00901,0.00901,0.00901
22,4038.62,2.55628,1.73359,2.94959,0.7042,0.71219,0.72518,0.54985,1.60544,0.80956,2.25002,0.0089605,0.0089605,0.0089605
23,4220.49,2.536,1.71285,2.93832,0.65264,0.69403,0.72391,0.53077,1.57541,0.75562,2.25638,0.008911,0.008911,0.008911
24,4402.64,2.51489,1.7121,2.92197,0.62059,0.73701,0.68233,0.50235,1.75941,0.81965,2.37834,0.0088615,0.0088615,0.0088615
25,4584.77,2.49308,1.67389,2.90592,0.78232,0.66433,0.72974,0.55048,1.61976,0.75626,2.33502,0.008812,0.008812,0.008812
26,4766.45,2.49487,1.66873,2.90864,0.63808,0.79764,0.70867,0.55929,1.5053,0.70743,2.2126,0.0087625,0.0087625,0.0087625
27,4948.2,2.47403,1.66466,2.89855,0.65797,0.69403,0.70263,0.52853,1.62517,0.74612,2.28285,0.008713,0.008713,0.008713
28,5130.33,2.48258,1.64852,2.89276,0.77548,0.65179,0.71402,0.54524,1.55613,0.6952,2.28302,0.0086635,0.0086635,0.0086635
29,5312.6,2.45858,1.63889,2.89797,0.67625,0.61254,0.66662,0.5291,1.45859,0.72159,2.18949,0.008614,0.008614,0.008614
30,5494.78,2.42761,1.60822,2.86788,0.74057,0.67627,0.72226,0.54027,1.68024,0.73383,2.33673,0.0085645,0.0085645,0.0085645
31,5676.86,2.43378,1.6196,2.86091,0.75086,0.72944,0.77518,0.6061,1.45655,0.69181,2.20613,0.008515,0.008515,0.008515
32,5858.8,2.43368,1.62788,2.85667,0.69823,0.77403,0.79581,0.62161,1.51209,0.66158,2.22926,0.0084655,0.0084655,0.0084655
33,6041.01,2.40807,1.60131,2.83443,0.64551,0.71478,0.71673,0.56864,1.5092,0.6989,2.22458,0.008416,0.008416,0.008416
34,6223.23,2.41162,1.60309,2.84095,0.72621,0.71552,0.75578,0.58555,1.5851,0.67892,2.28582,0.0083665,0.0083665,0.0083665
35,6405.04,2.38034,1.58983,2.81891,0.82,0.81104,0.81617,0.61989,1.58649,0.6728,2.24937,0.008317,0.008317,0.008317
36,6587.16,2.36613,1.55274,2.81942,0.74493,0.74676,0.76611,0.61171,1.37218,0.66013,2.10229,0.0082675,0.0082675,0.0082675
37,6769.23,2.35108,1.55507,2.81588,0.8129,0.69811,0.7732,0.61278,1.42892,0.67682,2.16957,0.008218,0.008218,0.008218
38,6951.3,2.34643,1.56353,2.80183,0.7563,0.66731,0.74658,0.60065,1.41456,0.64974,2.14376,0.0081685,0.0081685,0.0081685
39,7133.46,2.32071,1.5468,2.77877,0.76567,0.77328,0.76821,0.62713,1.33052,0.61048,2.08293,0.008119,0.008119,0.008119
40,7316.01,2.3107,1.52289,2.77328,0.76642,0.8003,0.78924,0.63281,1.31909,0.63621,2.08513,0.0080695,0.0080695,0.0080695
41,7498.49,2.29996,1.52127,2.76828,0.73747,0.7919,0.78987,0.63327,1.33046,0.63016,2.07797,0.00802,0.00802,0.00802
42,7680.9,2.27309,1.51123,2.73202,0.80414,0.71104,0.7887,0.64837,1.27701,0.60172,2.04941,0.0079705,0.0079705,0.0079705
43,7863.32,2.27126,1.52838,2.7508,0.74581,0.81179,0.82816,0.67808,1.26095,0.59634,2.03648,0.007921,0.007921,0.007921
44,8045.83,2.25006,1.48161,2.72306,0.93796,0.72063,0.82262,0.67274,1.28788,0.60691,2.04018,0.0078715,0.0078715,0.0078715
45,8228.21,2.23566,1.48858,2.71313,0.84901,0.81478,0.84652,0.70484,1.24181,0.58686,2.0114,0.007822,0.007822,0.007822
46,8410.58,2.22564,1.47615,2.70428,0.93386,0.72965,0.84775,0.70552,1.2335,0.57846,1.98457,0.0077725,0.0077725,0.0077725
47,8593.37,2.20847,1.46022,2.69994,0.76044,0.73254,0.79339,0.6674,1.23801,0.59425,2.02044,0.007723,0.007723,0.007723
48,8775.68,2.22665,1.45973,2.71248,0.84498,0.77078,0.82303,0.68885,1.16272,0.62471,1.93665,0.0076735,0.0076735,0.0076735
49,8958.13,2.19627,1.45449,2.68592,0.91858,0.73627,0.83154,0.69521,1.17289,0.58983,1.97475,0.007624,0.007624,0.007624
50,9140.58,2.19104,1.47371,2.68624,0.78709,0.7659,0.77618,0.64914,1.17852,0.5744,1.97962,0.0075745,0.0075745,0.0075745
51,9322.83,2.16736,1.44197,2.66308,0.95815,0.72881,0.83458,0.6964,1.13586,0.56559,1.91419,0.007525,0.007525,0.007525
52,9505.37,2.17292,1.43291,2.66674,0.9272,0.7503,0.83867,0.69329,1.17976,0.56119,1.95604,0.0074755,0.0074755,0.0074755
53,9687.67,2.16775,1.44234,2.66731,0.87392,0.72451,0.82073,0.68754,1.17482,0.56204,1.96292,0.007426,0.007426,0.007426
54,9869.99,2.14393,1.43871,2.63459,0.73269,0.83851,0.80979,0.67445,1.16578,0.56183,1.9427,0.0073765,0.0073765,0.0073765
55,10052.1,2.14627,1.42094,2.64556,0.84952,0.85619,0.85389,0.70385,1.15815,0.54996,1.94948,0.007327,0.007327,0.007327
56,10234.4,2.14285,1.43986,2.64888,0.76665,0.84561,0.83263,0.68999,1.16157,0.5717,1.95206,0.0072775,0.0072775,0.0072775
57,10416.5,2.13786,1.41044,2.62192,0.76004,0.85925,0.81202,0.68026,1.17214,0.57629,1.94553,0.007228,0.007228,0.007228
58,10598.8,2.11607,1.41103,2.62535,0.83401,0.77776,0.84418,0.71106,1.17499,0.56089,1.94739,0.0071785,0.0071785,0.0071785
59,10781,2.11935,1.4053,2.63381,0.79682,0.85325,0.84877,0.71239,1.14264,0.5663,1.93121,0.007129,0.007129,0.007129
60,10963.2,2.09855,1.38664,2.60585,0.86307,0.85776,0.87765,0.73747,1.13159,0.53914,1.92132,0.0070795,0.0070795,0.0070795
61,11145.5,2.11507,1.40993,2.62283,0.7938,0.87649,0.8512,0.7114,1.14317,0.55441,1.92837,0.00703,0.00703,0.00703
62,11327.9,2.09624,1.41868,2.61869,0.84305,0.84898,0.86045,0.73442,1.14795,0.55334,1.93668,0.0069805,0.0069805,0.0069805
63,11510.2,2.09572,1.40004,2.61561,0.9407,0.80661,0.87589,0.74666,1.1296,0.55007,1.93094,0.006931,0.006931,0.006931
64,11692.7,2.07482,1.38867,2.60868,0.89604,0.85403,0.85743,0.72613,1.13589,0.54677,1.9288,0.0068815,0.0068815,0.0068815
65,11875.1,2.07211,1.39419,2.59958,0.86939,0.82815,0.87741,0.74717,1.12634,0.53124,1.9157,0.006832,0.006832,0.006832
66,12057.5,2.07229,1.37906,2.60062,0.96476,0.79252,0.89122,0.76566,1.11312,0.52427,1.90511,0.0067825,0.0067825,0.0067825
67,12239.8,2.07,1.38947,2.59929,0.89409,0.83627,0.88654,0.74628,1.10553,0.52127,1.90817,0.006733,0.006733,0.006733
68,12422,2.0549,1.36269,2.5908,0.88011,0.85403,0.87889,0.75053,1.11755,0.53849,1.91514,0.0066835,0.0066835,0.0066835
69,12604.1,2.05473,1.36681,2.57892,0.94258,0.85552,0.87808,0.74862,1.11732,0.53957,1.91029,0.006634,0.006634,0.006634
70,12786.6,2.04653,1.35581,2.56663,0.91208,0.85403,0.88481,0.75062,1.11301,0.54865,1.90452,0.0065845,0.0065845,0.0065845
71,12968.8,2.04436,1.35049,2.56477,0.94633,0.8421,0.88528,0.74418,1.10991,0.56083,1.8972,0.006535,0.006535,0.006535
72,13151.2,2.03865,1.345,2.5644,0.92193,0.82659,0.87747,0.73588,1.09952,0.55572,1.89521,0.0064855,0.0064855,0.0064855
73,13333.8,2.0366,1.34189,2.57162,0.93115,0.76955,0.8642,0.7329,1.09397,0.55547,1.8941,0.006436,0.006436,0.006436
74,13516.2,2.03543,1.36419,2.57125,0.89411,0.833,0.8834,0.75139,1.07901,0.54757,1.88446,0.0063865,0.0063865,0.0063865
75,13698.5,2.01831,1.33619,2.55167,0.96973,0.81068,0.87935,0.74919,1.07186,0.5512,1.87609,0.006337,0.006337,0.006337
76,13880.9,2.03224,1.33108,2.56492,0.95599,0.81168,0.88881,0.75476,1.06903,0.54349,1.87535,0.0062875,0.0062875,0.0062875
77,14063.6,2.0148,1.34524,2.54355,0.95424,0.85254,0.89796,0.77056,1.05837,0.5353,1.86676,0.006238,0.006238,0.006238
78,14246.2,2.02044,1.34391,2.55629,0.94017,0.85131,0.89804,0.76156,1.06806,0.52808,1.87453,0.0061885,0.0061885,0.0061885
79,14428.4,2.00861,1.33112,2.55197,0.97906,0.83398,0.89152,0.75881,1.06555,0.51383,1.87398,0.006139,0.006139,0.006139
80,14610.9,2.00128,1.30124,2.53694,0.95044,0.83494,0.8954,0.76198,1.06117,0.51042,1.86934,0.0060895,0.0060895,0.0060895
81,14793.1,1.98826,1.31462,2.53046,0.94916,0.83328,0.89533,0.76392,1.05461,0.5216,1.85947,0.00604,0.00604,0.00604
82,14975.6,2.00945,1.32113,2.54771,0.98435,0.80051,0.90057,0.76618,1.05833,0.52407,1.8621,0.0059905,0.0059905,0.0059905
83,15157.8,1.99784,1.30933,2.53314,0.93016,0.81166,0.9022,0.77346,1.05969,0.52983,1.86703,0.005941,0.005941,0.005941
84,15340.5,1.99686,1.32223,2.53047,0.95317,0.8083,0.89665,0.77187,1.06007,0.51906,1.86994,0.0058915,0.0058915,0.0058915
85,15523,1.99516,1.31509,2.53441,0.90435,0.81317,0.8983,0.77411,1.05787,0.51792,1.86959,0.005842,0.005842,0.005842
86,15705.3,1.97326,1.31326,2.52545,0.90695,0.82972,0.89337,0.77427,1.05908,0.52052,1.86578,0.0057925,0.0057925,0.0057925
87,15887.9,1.97286,1.30416,2.50789,0.90573,0.82665,0.89539,0.778,1.05596,0.52518,1.86022,0.005743,0.005743,0.005743
88,16070.8,1.96214,1.29693,2.51134,0.90245,0.82955,0.89929,0.78208,1.05748,0.5221,1.86093,0.0056935,0.0056935,0.0056935
89,16253.4,1.9599,1.28015,2.50023,0.87642,0.83328,0.89119,0.77421,1.05644,0.52343,1.86084,0.005644,0.005644,0.005644
90,16435.8,1.97885,1.30272,2.52736,0.90571,0.83205,0.89353,0.77602,1.0561,0.52664,1.86179,0.0055945,0.0055945,0.0055945
91,16618.1,1.97054,1.29882,2.51302,0.90071,0.8339,0.89578,0.777,1.05846,0.52078,1.86163,0.005545,0.005545,0.005545
92,16800.6,1.97372,1.29746,2.5166,0.89432,0.83403,0.89773,0.77804,1.0557,0.51874,1.85933,0.0054955,0.0054955,0.0054955
93,16983.2,1.95887,1.27832,2.5012,0.9184,0.83254,0.9003,0.77482,1.05243,0.51537,1.85713,0.005446,0.005446,0.005446
94,17165.6,1.92751,1.25415,2.48893,0.84474,0.85776,0.90151,0.77945,1.05103,0.51982,1.85622,0.0053965,0.0053965,0.0053965
95,17348,1.94849,1.27474,2.49665,0.86366,0.87547,0.90131,0.7776,1.04789,0.50475,1.85645,0.005347,0.005347,0.005347
96,17530.8,1.95349,1.27513,2.50396,0.85747,0.87776,0.90784,0.78166,1.04569,0.50895,1.85743,0.0052975,0.0052975,0.0052975
97,17713.3,1.92738,1.25356,2.47958,0.85866,0.87776,0.90511,0.78438,1.04538,0.50832,1.85757,0.005248,0.005248,0.005248
98,17896,1.93996,1.26538,2.49457,0.90948,0.83254,0.906,0.78307,1.04438,0.50485,1.85678,0.0051985,0.0051985,0.0051985
99,18078.3,1.93523,1.27637,2.49919,0.86156,0.87565,0.9047,0.77937,1.04284,0.50574,1.8552,0.005149,0.005149,0.005149
100,18260.9,1.92344,1.26375,2.48139,0.86154,0.87552,0.90721,0.78035,1.04311,0.5041,1.8551,0.0050995,0.0050995,0.0050995
101,18443.3,1.91953,1.24778,2.47959,0.86038,0.87552,0.90408,0.78163,1.04114,0.50413,1.85417,0.00505,0.00505,0.00505
102,18625.7,1.9218,1.25499,2.47599,0.85905,0.87701,0.90644,0.78385,1.03949,0.49992,1.85287,0.0050005,0.0050005,0.0050005
103,18808.1,1.94263,1.27266,2.49473,0.84117,0.8946,0.90642,0.78357,1.03894,0.50315,1.85081,0.004951,0.004951,0.004951
104,18990.7,1.91371,1.253,2.47781,0.8444,0.8951,0.90549,0.78124,1.03787,0.50718,1.84954,0.0049015,0.0049015,0.0049015
105,19173,1.91348,1.2484,2.46151,0.86164,0.86118,0.91114,0.78612,1.03793,0.51646,1.84926,0.004852,0.004852,0.004852
106,19355.6,1.90617,1.24229,2.4663,0.85915,0.89604,0.91353,0.79095,1.0358,0.50659,1.84917,0.0048025,0.0048025,0.0048025
107,19538.2,1.89203,1.23613,2.46953,0.85741,0.89472,0.91176,0.78426,1.03403,0.50814,1.8478,0.004753,0.004753,0.004753
108,19721,1.89572,1.22471,2.46021,0.90127,0.86131,0.91025,0.78482,1.03458,0.50597,1.84769,0.0047035,0.0047035,0.0047035
109,19903.5,1.89474,1.22883,2.46139,0.83224,0.91776,0.90779,0.78418,1.03329,0.49907,1.8467,0.004654,0.004654,0.004654
110,20086.2,1.89769,1.22637,2.46385,0.83162,0.89787,0.907,0.7843,1.03239,0.50272,1.84561,0.0046045,0.0046045,0.0046045
111,20268.7,1.90269,1.24156,2.46554,0.85095,0.89776,0.90793,0.78657,1.03101,0.50306,1.84424,0.004555,0.004555,0.004555
112,20450.8,1.88827,1.23558,2.45767,0.9036,0.86883,0.90929,0.78854,1.03081,0.50058,1.84301,0.0045055,0.0045055,0.0045055
113,20632.7,1.88401,1.22308,2.45315,0.9024,0.85291,0.90919,0.79112,1.03062,0.50144,1.84148,0.004456,0.004456,0.004456
114,20814.8,1.87631,1.2267,2.44616,0.90249,0.85627,0.9094,0.79118,1.0302,0.4983,1.83985,0.0044065,0.0044065,0.0044065
115,20996.9,1.87211,1.21427,2.43952,0.90118,0.85627,0.90978,0.78985,1.02924,0.5006,1.83871,0.004357,0.004357,0.004357
