epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2596,3.19459,3.64276,3.64079,0.78784,0.2791,0.30535,0.13215,1.88852,3.6232,2.26246,0.00332818,0.00332818,0.00332818
2,161.585,2.1183,1.99373,2.30021,0.89127,0.35746,0.41196,0.21117,1.6009,2.20136,1.85997,0.00662854,0.00662854,0.00662854
3,226.318,1.87588,1.66622,1.99615,0.88596,0.35522,0.39785,0.18278,1.77869,2.06547,1.91659,0.0098959,0.0098959,0.0098959
4,289.904,1.76761,1.48665,1.87625,0.91566,0.40448,0.46056,0.23838,1.61818,1.37101,1.70454,0.0098515,0.0098515,0.0098515
5,354.248,1.69663,1.36804,1.79099,0.94377,0.40149,0.47364,0.245,1.63214,1.10595,1.67077,0.009802,0.009802,0.009802
6,418.099,1.65214,1.28067,1.74838,0.94042,0.42761,0.53442,0.28503,1.55156,1.73973,1.58826,0.0097525,0.0097525,0.0097525
7,483.078,1.6124,1.22189,1.71381,0.59113,0.49325,0.53227,0.32497,1.33584,0.98315,1.43114,0.009703,0.009703,0.009703
8,548.485,1.58039,1.17049,1.68571,0.40325,0.65179,0.56313,0.35999,1.1816,1.40896,1.35268,0.0096535,0.0096535,0.0096535
9,612.417,1.5479,1.14613,1.66562,0.50382,0.6791,0.6047,0.34409,1.4202,0.86787,1.48847,0.009604,0.009604,0.009604
10,677.634,1.51628,1.09891,1.62904,0.6692,0.57701,0.58631,0.38258,1.18841,0.80927,1.33717,0.0095545,0.0095545,0.0095545
11,742.548,1.48647,1.08319,1.60888,0.52026,0.57883,0.58847,0.37975,1.15949,0.81737,1.30584,0.009505,0.009505,0.009505
12,807.99,1.46222,1.06089,1.59042,0.51939,0.68433,0.58443,0.3892,1.13219,0.71509,1.29799,0.0094555,0.0094555,0.0094555
13,873.258,1.4453,1.04212,1.57078,0.59149,0.65104,0.71906,0.47655,1.12709,0.74038,1.27668,0.009406,0.009406,0.009406
14,938.459,1.42397,1.01442,1.55937,0.47335,0.66605,0.59776,0.40513,1.05562,0.74424,1.23518,0.0093565,0.0093565,0.0093565
15,1003.22,1.41891,1.01697,1.55584,0.65725,0.70582,0.6338,0.43842,1.0328,0.83272,1.2217,0.009307,0.009307,0.009307
16,1068.49,1.41102,1.00513,1.54466,0.50224,0.63077,0.61004,0.41613,1.1033,0.88441,1.26246,0.0092575,0.0092575,0.0092575
17,1133.97,1.38744,0.98655,1.52736,0.58396,0.66582,0.63298,0.45456,1.01756,0.59431,1.20161,0.009208,0.009208,0.009208
18,1199.02,1.38406,0.97105,1.51786,0.62248,0.62396,0.61531,0.45027,0.97752,0.80309,1.17558,0.0091585,0.0091585,0.0091585
19,1264.44,1.37419,0.97159,1.51405,0.62085,0.70328,0.63677,0.43977,0.99341,0.61239,1.19246,0.009109,0.009109,0.009109
20,1329.69,1.3718,0.96721,1.50375,0.61458,0.65104,0.65755,0.47444,0.96709,0.58027,1.17303,0.0090595,0.0090595,0.0090595
21,1395.15,1.35514,0.94592,1.4982,0.55904,0.68731,0.66543,0.51022,0.8739,0.53285,1.12998,0.00901,0.00901,0.00901
22,1459.44,1.35513,0.93706,1.49667,0.67201,0.68806,0.69097,0.48845,0.84333,0.55259,1.12639,0.0089605,0.0089605,0.0089605
23,1524.48,1.34061,0.93304,1.48368,0.67409,0.64692,0.66929,0.48157,0.91007,0.57462,1.14495,0.008911,0.008911,0.008911
24,1589.43,1.33927,0.92408,1.48458,0.60639,0.6299,0.6178,0.4635,0.89987,0.59212,1.1269,0.0088615,0.0088615,0.0088615
25,1653.93,1.32654,0.91529,1.47179,0.60849,0.70731,0.65996,0.50071,0.87821,0.5244,1.12323,0.008812,0.008812,0.008812
26,1719.1,1.32626,0.91495,1.47245,0.62321,0.66623,0.6709,0.48602,0.8697,0.56897,1.10058,0.0087625,0.0087625,0.0087625
27,1784.06,1.31785,0.90663,1.46802,0.62819,0.66806,0.63822,0.46318,0.89478,0.56397,1.12863,0.008713,0.008713,0.008713
28,1849.17,1.31987,0.90371,1.46225,0.67588,0.6903,0.694,0.51008,0.88495,1.28644,1.11103,0.0086635,0.0086635,0.0086635
29,1913.92,1.31368,0.90144,1.46415,0.67831,0.69104,0.66463,0.5048,0.81382,0.49175,1.08031,0.008614,0.008614,0.008614
30,1978.98,1.30238,0.88877,1.45324,0.64967,0.6516,0.65193,0.482,0.88547,0.58444,1.12844,0.0085645,0.0085645,0.0085645
31,2043.14,1.30158,0.89076,1.4531,0.65463,0.71832,0.71687,0.53903,0.83976,0.48283,1.10843,0.008515,0.008515,0.008515
32,2108.43,1.30203,0.88637,1.45565,0.73098,0.68042,0.70626,0.54096,0.85845,0.49313,1.11096,0.0084655,0.0084655,0.0084655
33,2173.52,1.29603,0.8802,1.44618,0.59423,0.73179,0.7002,0.51287,0.89474,0.50027,1.11626,0.008416,0.008416,0.008416
34,2238.45,1.29646,0.88241,1.44918,0.72432,0.68405,0.72118,0.55653,0.82816,0.47011,1.09082,0.0083665,0.0083665,0.0083665
35,2303.99,1.28595,0.87355,1.43952,0.75001,0.71872,0.71864,0.54272,0.88549,0.47902,1.12048,0.008317,0.008317,0.008317
36,2369.18,1.28197,0.86166,1.43703,0.73899,0.75104,0.78661,0.58839,0.85517,0.46111,1.08416,0.0082675,0.0082675,0.0082675
37,2434.49,1.27787,0.86329,1.4346,0.66132,0.70731,0.70112,0.54076,0.79978,0.45148,1.07161,0.008218,0.008218,0.008218
38,2500.17,1.28071,0.86598,1.43989,0.75904,0.72433,0.73213,0.55281,0.79366,0.48921,1.06244,0.0081685,0.0081685,0.0081685
39,2565.28,1.26734,0.8542,1.42592,0.65995,0.7303,0.72021,0.5498,0.84773,0.44686,1.09049,0.008119,0.008119,0.008119
40,2630.17,1.26496,0.84423,1.42449,0.71745,0.70365,0.72334,0.57685,0.77968,0.44465,1.04791,0.0080695,0.0080695,0.0080695
41,2695.28,1.26522,0.8481,1.4236,0.72977,0.68794,0.71099,0.56409,0.78303,0.47059,1.06452,0.00802,0.00802,0.00802
42,2760.21,1.2546,0.83922,1.40709,0.68759,0.73335,0.69818,0.54917,0.79648,0.43405,1.06081,0.0079705,0.0079705,0.0079705
43,2825.5,1.26302,0.84882,1.41887,0.67738,0.70658,0.71441,0.5526,0.7825,0.42993,1.05175,0.007921,0.007921,0.007921
44,2890.13,1.25602,0.83229,1.40493,0.71604,0.7303,0.7612,0.59271,0.81321,0.43259,1.0635,0.0078715,0.0078715,0.0078715
45,2954.91,1.25584,0.83704,1.40779,0.64082,0.83179,0.76433,0.59585,0.81495,0.42406,1.06459,0.007822,0.007822,0.007822
46,3020.39,1.24592,0.82607,1.39974,0.80309,0.68358,0.75742,0.59592,0.82742,0.42663,1.07149,0.0077725,0.0077725,0.0077725
47,3085.56,1.24319,0.82462,1.40231,0.7554,0.71182,0.76459,0.60349,0.77752,0.4225,1.04461,0.007723,0.007723,0.007723
48,3150.89,1.24779,0.8272,1.40535,0.75398,0.72882,0.7817,0.60452,0.78205,0.42935,1.04941,0.0076735,0.0076735,0.0076735
49,3215.91,1.24319,0.82301,1.39935,0.76277,0.7352,0.778,0.62165,0.78094,0.41046,1.04041,0.007624,0.007624,0.007624
50,3281.1,1.24298,0.8277,1.40173,0.87616,0.70657,0.80819,0.61623,0.80201,0.41866,1.04471,0.0075745,0.0075745,0.0075745
51,3346.34,1.23153,0.81608,1.39135,0.86766,0.70209,0.76897,0.6149,0.7276,0.40713,1.02826,0.007525,0.007525,0.007525
52,3411.89,1.23381,0.81264,1.39302,0.84918,0.66433,0.7789,0.60452,0.76658,0.40527,1.0416,0.0074755,0.0074755,0.0074755
53,3477.12,1.23427,0.81673,1.39694,0.89186,0.72459,0.80662,0.62187,0.77649,0.40413,1.04415,0.007426,0.007426,0.007426
54,3542.03,1.22811,0.81438,1.3871,0.7594,0.76897,0.80843,0.63079,0.76796,0.39922,1.03332,0.0073765,0.0073765,0.0073765
