epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.105,3.08543,2.8238,3.49295,0.85124,0.32239,0.34808,0.13204,1.88855,2.72377,2.26964,0.00332818,0.00332818,0.00332818
2,221.828,2.00307,1.64243,2.17772,0.91017,0.33055,0.39497,0.21738,1.52708,1.4098,1.7674,0.00662854,0.00662854,0.00662854
3,328.807,1.80003,1.46101,1.91324,0.91509,0.41226,0.46662,0.24348,1.58687,1.49884,1.71153,0.0098959,0.0098959,0.0098959
4,435.346,1.69951,1.32761,1.79512,0.93043,0.43433,0.4955,0.26948,1.57528,1.00331,1.63548,0.0098515,0.0098515,0.0098515
5,542.208,1.6106,1.212,1.72237,0.46995,0.5472,0.55999,0.30364,1.54074,0.80208,1.59946,0.009802,0.009802,0.009802
6,649.104,1.54306,1.13639,1.66819,0.46404,0.64134,0.60494,0.32211,1.58366,0.82154,1.60958,0.0097525,0.0097525,0.0097525
7,755.545,1.47651,1.07308,1.61566,0.56144,0.64134,0.58636,0.34789,1.29258,0.68881,1.41207,0.009703,0.009703,0.009703
8,862.15,1.43617,1.02372,1.57986,0.60334,0.62134,0.62724,0.41042,1.17417,0.85392,1.31955,0.0096535,0.0096535,0.0096535
9,969.02,1.41549,1.00003,1.56802,0.5677,0.63895,0.63906,0.40038,1.25475,0.77161,1.4051,0.009604,0.009604,0.009604
10,1075.98,1.38263,0.97224,1.54555,0.55273,0.68731,0.64822,0.42263,1.13833,0.69591,1.30986,0.0095545,0.0095545,0.0095545
11,1183.17,1.36603,0.95145,1.52268,0.52368,0.69697,0.65017,0.4302,1.19115,0.69608,1.33341,0.009505,0.009505,0.009505
12,1290.89,1.35161,0.92791,1.51473,0.62946,0.62881,0.66451,0.46282,1.06739,0.70635,1.28361,0.0094555,0.0094555,0.0094555
13,1398.78,1.33564,0.91118,1.50913,0.5703,0.73179,0.69413,0.47457,1.13216,0.58618,1.30374,0.009406,0.009406,0.009406
