epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.563,3.58537,3.9444,4.07029,0.13844,0.15896,0.11107,0.03106,2.35408,11.8165,3.35551,0.00332818,0.00332818,0.00332818
2,485.414,2.19663,2.00597,2.43087,0.87477,0.38507,0.41639,0.21485,1.58205,1.45547,1.78175,0.00662854,0.00662854,0.00662854
3,720.373,1.82872,1.50471,1.93142,0.91705,0.37164,0.46097,0.22355,1.698,1.41159,1.80345,0.0098959,0.0098959,0.0098959
4,954.726,1.69002,1.29513,1.78347,0.93367,0.42313,0.52418,0.28082,1.55817,1.24069,1.58145,0.0098515,0.0098515,0.0098515
5,1189.11,1.6158,1.17721,1.70888,0.95344,0.44334,0.556,0.30405,1.51688,1.56964,1.52919,0.009802,0.009802,0.009802
6,1423.54,1.56536,1.10069,1.66528,0.53996,0.59179,0.60493,0.30686,1.61454,0.86641,1.58404,0.0097525,0.0097525,0.0097525
7,1657.94,1.49657,1.037,1.61438,0.49933,0.62582,0.58099,0.3588,1.27206,0.88971,1.37641,0.009703,0.009703,0.009703
8,1892.47,1.4575,0.9903,1.5842,0.54698,0.68657,0.64577,0.42648,1.15873,0.65769,1.2921,0.0096535,0.0096535,0.0096535
9,2126.87,1.42562,0.96348,1.56658,0.70089,0.59942,0.67899,0.4275,1.24948,0.58794,1.35829,0.009604,0.009604,0.009604
10,2361.31,1.38109,0.92623,1.52412,0.57447,0.67104,0.67332,0.46447,1.08864,0.58592,1.26998,0.0095545,0.0095545,0.0095545
11,2595.61,1.347,0.9043,1.50089,0.60946,0.70881,0.685,0.46963,1.07892,0.55062,1.24484,0.009505,0.009505,0.009505
12,2829.97,1.3225,0.88732,1.48624,0.67737,0.65368,0.69315,0.4903,1.02668,0.53435,1.20244,0.0094555,0.0094555,0.0094555
13,3064.47,1.30523,0.86918,1.47215,0.66319,0.7303,0.70313,0.50301,0.99596,0.56849,1.20025,0.009406,0.009406,0.009406
14,3298.89,1.28494,0.84491,1.46002,0.69317,0.73478,0.75575,0.54095,0.93778,0.49401,1.15814,0.0093565,0.0093565,0.0093565
15,3533.27,1.27525,0.84013,1.4543,0.77319,0.66358,0.72519,0.52534,0.98508,0.47061,1.18363,0.009307,0.009307,0.009307
16,3767.62,1.26644,0.82814,1.44285,0.6564,0.77328,0.7302,0.52112,0.9261,0.48674,1.13282,0.0092575,0.0092575,0.0092575
17,4001.87,1.24772,0.81453,1.43033,0.77176,0.76284,0.80226,0.58181,0.97877,0.46297,1.15508,0.009208,0.009208,0.009208
18,4236.47,1.23956,0.79989,1.4181,0.63168,0.79552,0.72661,0.54312,0.92759,0.46698,1.13525,0.0091585,0.0091585,0.0091585
19,4470.78,1.2299,0.79807,1.41705,0.75683,0.82153,0.80754,0.57156,0.94485,0.45691,1.1454,0.009109,0.009109,0.009109
20,4705.35,1.2284,0.78633,1.40915,0.7841,0.71254,0.78582,0.56625,0.86888,0.44956,1.09902,0.0090595,0.0090595,0.0090595
21,4939.75,1.20784,0.77335,1.40179,0.77689,0.78057,0.83591,0.60171,0.94276,0.45363,1.13657,0.00901,0.00901,0.00901
22,5174.37,1.20231,0.76387,1.38929,0.81212,0.80826,0.82866,0.63719,0.82096,0.42134,1.07359,0.0089605,0.0089605,0.0089605
23,5408.94,1.18991,0.76143,1.3866,0.88233,0.69397,0.83227,0.63738,0.80547,0.40393,1.08001,0.008911,0.008911,0.008911
24,5643.71,1.17699,0.75097,1.37376,0.8754,0.77552,0.81378,0.62229,0.81175,0.40526,1.08148,0.0088615,0.0088615,0.0088615
25,5878.27,1.16614,0.73993,1.36775,0.77328,0.81254,0.82739,0.62947,0.85426,0.39955,1.102,0.008812,0.008812,0.008812
26,6112.73,1.16223,0.73607,1.361,0.80105,0.81179,0.8483,0.65785,0.78376,0.36671,1.05585,0.0087625,0.0087625,0.0087625
27,6347.22,1.1498,0.73175,1.35613,0.88065,0.7652,0.83009,0.62607,0.81707,0.38568,1.07067,0.008713,0.008713,0.008713
28,6581.89,1.15553,0.72977,1.35458,0.83129,0.71106,0.78983,0.64426,0.70222,0.37124,1.0046,0.0086635,0.0086635,0.0086635
29,6816.72,1.14066,0.72695,1.34812,0.90225,0.74908,0.83385,0.66601,0.72023,0.36393,1.00529,0.008614,0.008614,0.008614
30,7051.52,1.12659,0.70931,1.3354,0.77554,0.7531,0.79946,0.64746,0.71819,0.35617,1.01842,0.0085645,0.0085645,0.0085645
31,7286.25,1.12291,0.71176,1.32923,0.89908,0.81478,0.87644,0.70562,0.70655,0.34761,1.01938,0.008515,0.008515,0.008515
32,7521.14,1.1235,0.7109,1.3339,0.81302,0.79254,0.82055,0.66301,0.67626,0.35506,0.98718,0.0084655,0.0084655,0.0084655
33,7755.97,1.10863,0.70333,1.32138,0.75319,0.83627,0.83423,0.66021,0.69501,0.35234,1.0103,0.008416,0.008416,0.008416
34,7990.7,1.11155,0.70174,1.32289,0.88938,0.83512,0.88915,0.70906,0.70653,0.33797,1.01893,0.0083665,0.0083665,0.0083665
35,8225.5,1.09983,0.69802,1.3134,0.80971,0.8163,0.85553,0.70482,0.68384,0.33969,1.00061,0.008317,0.008317,0.008317
36,8460.19,1.09069,0.68598,1.31008,0.90973,0.73552,0.84535,0.69017,0.66152,0.33846,0.98704,0.0082675,0.0082675,0.0082675
37,8694.69,1.08716,0.68728,1.30478,0.81039,0.82486,0.8648,0.70509,0.64529,0.34109,0.9523,0.008218,0.008218,0.008218
38,8929.04,1.08555,0.68312,1.30591,0.89179,0.81552,0.87811,0.72783,0.66795,0.33417,0.99052,0.0081685,0.0081685,0.0081685
39,9163.73,1.07066,0.67429,1.29294,0.87371,0.83478,0.90745,0.7542,0.64203,0.32143,0.98086,0.008119,0.008119,0.008119
40,9398.54,1.06235,0.67018,1.28692,0.79196,0.86715,0.88008,0.72703,0.67618,0.32577,0.98837,0.0080695,0.0080695,0.0080695
41,9633.13,1.05577,0.6682,1.28528,0.85755,0.81403,0.8701,0.73174,0.60834,0.31239,0.9403,0.00802,0.00802,0.00802
42,9867.76,1.04327,0.66101,1.26992,0.84288,0.8449,0.88514,0.74386,0.64008,0.31017,0.96049,0.0079705,0.0079705,0.0079705
43,10102.5,1.04542,0.6657,1.27683,0.88963,0.85384,0.91351,0.77347,0.63979,0.30574,0.97642,0.007921,0.007921,0.007921
44,10337.2,1.03538,0.65303,1.27077,0.92739,0.81239,0.87798,0.74101,0.61008,0.30694,0.96374,0.0078715,0.0078715,0.0078715
45,10571.8,1.02774,0.65421,1.26262,0.94499,0.82831,0.8888,0.74998,0.57992,0.30611,0.9191,0.007822,0.007822,0.007822
46,10806.4,1.01989,0.64099,1.25093,0.82646,0.81403,0.8821,0.75611,0.56042,0.29675,0.90125,0.0077725,0.0077725,0.0077725
47,11040.9,1.01672,0.64457,1.25756,0.91668,0.83337,0.89921,0.76607,0.56736,0.29591,0.91879,0.007723,0.007723,0.007723
48,11275.7,1.01366,0.64364,1.2572,0.86241,0.83335,0.88324,0.77155,0.56345,0.2933,0.92171,0.0076735,0.0076735,0.0076735
49,11510.5,1.00433,0.63413,1.24478,0.86874,0.87627,0.88882,0.76484,0.57802,0.29923,0.93199,0.007624,0.007624,0.007624
50,11745.3,1.00311,0.64149,1.24542,0.8901,0.85705,0.87498,0.73478,0.56836,0.29494,0.93326,0.0075745,0.0075745,0.0075745
51,11979.9,0.99249,0.62957,1.23823,0.91879,0.83404,0.88631,0.76056,0.53781,0.28417,0.89564,0.007525,0.007525,0.007525
52,12215,0.99467,0.62667,1.23715,0.85446,0.87459,0.87312,0.74822,0.56552,0.29133,0.92587,0.0074755,0.0074755,0.0074755
53,12449.7,0.98855,0.62566,1.23419,0.8688,0.87552,0.90315,0.77518,0.55998,0.2829,0.92114,0.007426,0.007426,0.007426
54,12684.6,0.98424,0.62302,1.23004,0.90577,0.83403,0.90617,0.77896,0.55945,0.28877,0.92214,0.0073765,0.0073765,0.0073765
55,12919.4,0.98288,0.61823,1.22648,0.89995,0.89552,0.92179,0.78051,0.56728,0.28313,0.92507,0.007327,0.007327,0.007327
56,13154.5,0.97942,0.62221,1.22923,0.86548,0.91627,0.92207,0.78878,0.56841,0.27536,0.92745,0.0072775,0.0072775,0.0072775
57,13389.4,0.97479,0.61494,1.21489,0.90042,0.87627,0.89194,0.75746,0.57932,0.27546,0.9278,0.007228,0.007228,0.007228
58,13624.3,0.96911,0.60908,1.21733,0.89846,0.85627,0.91263,0.78311,0.54651,0.27018,0.90767,0.0071785,0.0071785,0.0071785
59,13859,0.96552,0.6099,1.21787,0.81448,0.89759,0.88981,0.78111,0.53423,0.26831,0.90654,0.007129,0.007129,0.007129
60,14093.9,0.95618,0.60028,1.21136,0.86923,0.89776,0.90472,0.80055,0.51165,0.27412,0.8802,0.0070795,0.0070795,0.0070795
61,14328.9,0.96701,0.61061,1.21622,0.927,0.8742,0.93335,0.81506,0.51299,0.26992,0.87725,0.00703,0.00703,0.00703
62,14563.9,0.96245,0.61253,1.21723,0.97339,0.85179,0.93089,0.81563,0.53494,0.2617,0.90754,0.0069805,0.0069805,0.0069805
63,14798.7,0.95552,0.60488,1.21723,0.89507,0.91627,0.93233,0.82162,0.52385,0.26663,0.89646,0.006931,0.006931,0.006931
64,15033.8,0.94945,0.59866,1.20751,0.88905,0.92848,0.93237,0.81506,0.51957,0.25942,0.89281,0.0068815,0.0068815,0.0068815
65,15268.5,0.95028,0.60578,1.20653,0.95359,0.87126,0.92628,0.79267,0.51378,0.26533,0.88078,0.006832,0.006832,0.006832
66,15503.3,0.94931,0.59565,1.20463,0.95536,0.87403,0.91843,0.78614,0.51183,0.27394,0.87396,0.0067825,0.0067825,0.0067825
67,15738,0.94652,0.60168,1.20643,0.90817,0.87403,0.91816,0.79174,0.51157,0.27202,0.87376,0.006733,0.006733,0.006733
68,15972.9,0.93548,0.59078,1.19766,0.96095,0.8672,0.9255,0.8047,0.52662,0.26018,0.89369,0.0066835,0.0066835,0.0066835
69,16207.5,0.9359,0.59125,1.19464,0.97234,0.87403,0.92757,0.81325,0.5223,0.25628,0.90104,0.006634,0.006634,0.006634
70,16442.3,0.93393,0.5902,1.19491,0.98185,0.86929,0.94044,0.83153,0.51812,0.25378,0.90338,0.0065845,0.0065845,0.0065845
71,16677.1,0.93128,0.58534,1.19357,0.97849,0.87079,0.93782,0.82343,0.51955,0.25432,0.90491,0.006535,0.006535,0.006535
72,16911.9,0.92652,0.58016,1.18762,0.9803,0.8694,0.93275,0.81794,0.51724,0.25395,0.90198,0.0064855,0.0064855,0.0064855
73,17146.6,0.92528,0.58428,1.19103,0.98227,0.86945,0.93607,0.82282,0.51646,0.25147,0.89879,0.006436,0.006436,0.006436
74,17381.3,0.92889,0.58765,1.19613,0.98069,0.86919,0.93696,0.82517,0.51072,0.24863,0.89642,0.0063865,0.0063865,0.0063865
75,17616.1,0.91887,0.57784,1.18346,0.97891,0.86907,0.94209,0.83772,0.51239,0.24819,0.8949,0.006337,0.006337,0.006337
76,17851.2,0.92058,0.57394,1.18585,0.91888,0.92658,0.95123,0.84467,0.51188,0.24767,0.89196,0.0062875,0.0062875,0.0062875
77,18086.2,0.91511,0.57623,1.17974,0.93695,0.93478,0.95673,0.84698,0.50849,0.24578,0.88656,0.006238,0.006238,0.006238
78,18321.2,0.91667,0.57482,1.17699,0.93965,0.92877,0.9562,0.84639,0.50605,0.24402,0.88311,0.0061885,0.0061885,0.0061885
79,18556,0.91325,0.57685,1.18296,0.96094,0.90966,0.95754,0.85256,0.50786,0.24551,0.88484,0.006139,0.006139,0.006139
80,18791.1,0.91131,0.56255,1.17806,0.93637,0.91066,0.96215,0.85571,0.50997,0.24511,0.88499,0.0060895,0.0060895,0.0060895
81,19026,0.90397,0.56653,1.1736,0.96019,0.8903,0.96345,0.85228,0.50982,0.24338,0.88403,0.00604,0.00604,0.00604
82,19260.8,0.9117,0.56716,1.17881,0.96226,0.88955,0.96455,0.85309,0.50861,0.2427,0.88516,0.0059905,0.0059905,0.0059905
83,19495.6,0.90514,0.56549,1.17039,0.95921,0.88955,0.96536,0.85719,0.51044,0.24194,0.88615,0.005941,0.005941,0.005941
84,19730.5,0.905,0.5676,1.17053,0.96008,0.88661,0.96588,0.86027,0.51274,0.24476,0.88534,0.0058915,0.0058915,0.0058915
85,19965.6,0.90154,0.56565,1.17731,0.96027,0.88691,0.96972,0.84967,0.51381,0.24322,0.88379,0.005842,0.005842,0.005842
86,20200.3,0.89671,0.55841,1.17033,0.95967,0.89051,0.96924,0.85357,0.51143,0.24017,0.87972,0.0057925,0.0057925,0.0057925
87,20435,0.89489,0.55859,1.16468,0.95953,0.88945,0.96967,0.85796,0.51526,0.23837,0.88485,0.005743,0.005743,0.005743
88,20669.9,0.89351,0.55248,1.16406,0.94117,0.91174,0.97167,0.85845,0.49618,0.24933,0.86202,0.0056935,0.0056935,0.0056935
89,20904.7,0.89088,0.55318,1.15408,0.93862,0.91478,0.97088,0.85235,0.49381,0.2512,0.85864,0.005644,0.005644,0.005644
90,21139.6,0.89746,0.56049,1.16963,0.9636,0.88913,0.97039,0.85244,0.49167,0.25049,0.85589,0.0055945,0.0055945,0.0055945
91,21374.2,0.88962,0.55589,1.16153,0.96445,0.88946,0.97064,0.85091,0.49305,0.25018,0.85875,0.005545,0.005545,0.005545
92,21609,0.89665,0.56017,1.16706,0.97723,0.88974,0.96654,0.85974,0.49749,0.24878,0.86676,0.0054955,0.0054955,0.0054955
93,21843.7,0.88923,0.55218,1.16579,0.9721,0.88986,0.9718,0.85418,0.50874,0.2374,0.88275,0.005446,0.005446,0.005446
94,22078.5,0.8753,0.54079,1.15046,0.97213,0.88978,0.97149,0.85273,0.50778,0.23576,0.8826,0.0053965,0.0053965,0.0053965
95,22313.2,0.88208,0.54693,1.15784,0.96906,0.88958,0.97243,0.85356,0.50652,0.23459,0.88115,0.005347,0.005347,0.005347
96,22548,0.88546,0.54847,1.15855,0.96542,0.91258,0.97287,0.85452,0.50558,0.23567,0.88019,0.0052975,0.0052975,0.0052975
97,22782.6,0.871,0.54023,1.14184,0.9496,0.91328,0.97376,0.85941,0.50428,0.23641,0.87854,0.005248,0.005248,0.005248
98,23017.3,0.87948,0.54266,1.15128,0.97503,0.90957,0.97553,0.86364,0.50284,0.23516,0.87753,0.0051985,0.0051985,0.0051985
99,23252.1,0.87484,0.54928,1.15022,0.97785,0.90731,0.9761,0.86463,0.50157,0.23444,0.87699,0.005149,0.005149,0.005149
100,23486.9,0.87276,0.5413,1.1448,0.97856,0.90731,0.97752,0.86931,0.49633,0.23402,0.87122,0.0050995,0.0050995,0.0050995
101,23721.6,0.8696,0.53854,1.14134,0.97885,0.90731,0.97652,0.867,0.50041,0.23224,0.87531,0.00505,0.00505,0.00505
102,23956.2,0.87092,0.53943,1.14154,0.97969,0.90731,0.97755,0.87114,0.49739,0.23388,0.87224,0.0050005,0.0050005,0.0050005
103,24190.9,0.87967,0.55203,1.15735,0.98069,0.90731,0.9779,0.86698,0.49452,0.23459,0.86952,0.004951,0.004951,0.004951
104,24425.6,0.86473,0.53901,1.15029,0.98586,0.90764,0.97889,0.87141,0.49506,0.23487,0.87031,0.0049015,0.0049015,0.0049015
105,24660.4,0.8662,0.53571,1.14523,0.9897,0.90667,0.97844,0.86806,0.49454,0.23406,0.87098,0.004852,0.004852,0.004852
106,24894.9,0.86433,0.53269,1.14091,0.94117,0.92685,0.97844,0.86551,0.49428,0.23344,0.87021,0.0048025,0.0048025,0.0048025
107,25129.3,0.85284,0.5283,1.13672,0.94097,0.92762,0.9786,0.86857,0.49342,0.2327,0.8686,0.004753,0.004753,0.004753
108,25363.8,0.85491,0.52612,1.13188,0.94098,0.92834,0.97915,0.86755,0.49782,0.23012,0.87299,0.0047035,0.0047035,0.0047035
109,25598.6,0.85527,0.52386,1.12881,0.94107,0.92807,0.9789,0.86694,0.49202,0.23464,0.86661,0.004654,0.004654,0.004654
110,25833.3,0.85286,0.52219,1.12532,0.9452,0.91262,0.97787,0.8676,0.48633,0.23567,0.86009,0.0046045,0.0046045,0.0046045
111,26067.9,0.85798,0.5306,1.14079,0.94528,0.91212,0.97753,0.86777,0.4867,0.2356,0.86022,0.004555,0.004555,0.004555
112,26302.5,0.84863,0.5263,1.13284,0.9473,0.91249,0.97823,0.8708,0.48052,0.23772,0.85378,0.0045055,0.0045055,0.0045055
113,26537.2,0.84885,0.52257,1.13704,0.90601,0.96581,0.97945,0.87158,0.47814,0.2375,0.85136,0.004456,0.004456,0.004456
114,26771.9,0.84658,0.52162,1.12923,0.90686,0.96935,0.97985,0.87439,0.47593,0.23766,0.84886,0.0044065,0.0044065,0.0044065
115,27006.5,0.84127,0.51671,1.12273,0.90718,0.97125,0.98029,0.87502,0.47449,0.23648,0.84689,0.004357,0.004357,0.004357
116,27241.4,0.8361,0.51109,1.12543,0.90627,0.97373,0.98031,0.87116,0.47256,0.23814,0.84563,0.0043075,0.0043075,0.0043075
117,27476,0.84389,0.51637,1.12957,0.90691,0.97776,0.98034,0.8715,0.47095,0.23749,0.84382,0.004258,0.004258,0.004258
118,27710.7,0.84259,0.51443,1.13411,0.9057,0.97776,0.97994,0.87503,0.47037,0.2368,0.84369,0.0042085,0.0042085,0.0042085
119,27945.2,0.83959,0.51603,1.1311,0.90483,0.97776,0.9804,0.87016,0.47034,0.23683,0.84392,0.004159,0.004159,0.004159
120,28179.9,0.83765,0.51395,1.12512,0.90372,0.97776,0.98038,0.86992,0.46917,0.23587,0.84257,0.0041095,0.0041095,0.0041095
121,28414.4,0.83417,0.51001,1.12125,0.90311,0.97776,0.98036,0.86818,0.46759,0.23686,0.84068,0.00406,0.00406,0.00406
122,28649,0.83874,0.51309,1.11733,0.9022,0.97776,0.97955,0.8714,0.46727,0.237,0.83999,0.0040105,0.0040105,0.0040105
123,28883.4,0.83079,0.51121,1.11644,0.89997,0.97776,0.97958,0.87425,0.46673,0.23714,0.8398,0.003961,0.003961,0.003961
124,29118.1,0.83319,0.5138,1.12233,0.90349,0.97776,0.98052,0.87338,0.46652,0.23715,0.83967,0.0039115,0.0039115,0.0039115
125,29352.8,0.8309,0.50825,1.12173,0.90471,0.97776,0.98053,0.87631,0.46494,0.23779,0.83798,0.003862,0.003862,0.003862
126,29587.6,0.82441,0.50692,1.11347,0.90806,0.97776,0.98003,0.8781,0.46259,0.23612,0.83622,0.0038125,0.0038125,0.0038125
127,29822.3,0.82553,0.50605,1.11549,0.90812,0.97776,0.98047,0.87882,0.46297,0.2334,0.83603,0.003763,0.003763,0.003763
128,30057.2,0.82411,0.50181,1.11409,0.90959,0.97776,0.98053,0.87884,0.4625,0.23233,0.83572,0.0037135,0.0037135,0.0037135
129,30291.9,0.8217,0.50481,1.11225,0.91118,0.97776,0.98057,0.87996,0.46207,0.23184,0.83551,0.003664,0.003664,0.003664
130,30526.7,0.81732,0.49259,1.10247,0.9132,0.97776,0.98051,0.87961,0.46176,0.23149,0.83519,0.0036145,0.0036145,0.0036145
131,30761.2,0.8244,0.50133,1.10744,0.91252,0.97776,0.9805,0.87782,0.46131,0.23147,0.83484,0.003565,0.003565,0.003565
132,30995.7,0.81447,0.49805,1.1036,0.91069,0.97776,0.98051,0.87817,0.4607,0.2305,0.83453,0.0035155,0.0035155,0.0035155
133,31230.3,0.81855,0.498,1.10074,0.91165,0.97701,0.9805,0.87841,0.46048,0.23086,0.83429,0.003466,0.003466,0.003466
134,31464.8,0.8081,0.4921,1.09749,0.91362,0.97701,0.98135,0.87933,0.46005,0.23107,0.83418,0.0034165,0.0034165,0.0034165
135,31699.3,0.81071,0.49367,1.09869,0.9148,0.97701,0.98138,0.87906,0.45999,0.23076,0.83383,0.003367,0.003367,0.003367
136,31933.9,0.81041,0.49167,1.10241,0.91556,0.97701,0.98143,0.87633,0.45971,0.22977,0.83352,0.0033175,0.0033175,0.0033175
137,32168.4,0.80892,0.49162,1.10298,0.91572,0.97701,0.98147,0.87616,0.45953,0.22996,0.8333,0.003268,0.003268,0.003268
138,32403,0.80646,0.48952,1.10264,0.91575,0.97701,0.98242,0.87773,0.45925,0.22852,0.8331,0.0032185,0.0032185,0.0032185
139,32637.4,0.80185,0.48442,1.10324,0.91571,0.97701,0.98297,0.87808,0.45897,0.22725,0.83278,0.003169,0.003169,0.003169
140,32872.1,0.80674,0.48891,1.10632,0.91583,0.97701,0.98298,0.87805,0.45897,0.2255,0.8326,0.0031195,0.0031195,0.0031195
141,33106.6,0.79988,0.48314,1.10158,0.91556,0.97701,0.98301,0.87812,0.45827,0.22499,0.83231,0.00307,0.00307,0.00307
142,33341.2,0.79938,0.48462,1.09724,0.91527,0.97701,0.98356,0.87814,0.45776,0.22391,0.83195,0.0030205,0.0030205,0.0030205
143,33575.6,0.80123,0.4874,1.10567,0.91574,0.97701,0.98357,0.87858,0.45714,0.22357,0.83171,0.002971,0.002971,0.002971
144,33810.3,0.80063,0.48671,1.10175,0.91714,0.97713,0.98359,0.87866,0.45683,0.22306,0.83167,0.0029215,0.0029215,0.0029215
145,34044.8,0.79218,0.47986,1.09083,0.91835,0.97701,0.98366,0.87884,0.45601,0.22237,0.83147,0.002872,0.002872,0.002872
146,34279.4,0.7896,0.47806,1.09647,0.91762,0.97701,0.98367,0.88158,0.45529,0.22127,0.83122,0.0028225,0.0028225,0.0028225
147,34513.8,0.78433,0.47584,1.09201,0.91826,0.97701,0.98424,0.88276,0.45487,0.22113,0.83102,0.002773,0.002773,0.002773
148,34748.5,0.78603,0.47698,1.09298,0.92377,0.97701,0.98489,0.88519,0.45427,0.2209,0.83079,0.0027235,0.0027235,0.0027235
149,34983.3,0.78419,0.47884,1.08935,0.92454,0.97701,0.98491,0.88315,0.45391,0.22006,0.83064,0.002674,0.002674,0.002674
150,35217.9,0.77882,0.47249,1.08282,0.92487,0.97701,0.98573,0.88642,0.45354,0.21873,0.83054,0.0026245,0.0026245,0.0026245
151,35452.5,0.78611,0.47167,1.08619,0.92645,0.97701,0.98576,0.8869,0.45289,0.21835,0.8304,0.002575,0.002575,0.002575
152,35687.1,0.78028,0.47228,1.08643,0.93457,0.97701,0.98577,0.88664,0.45164,0.2185,0.83004,0.0025255,0.0025255,0.0025255
153,35921.5,0.77981,0.46645,1.08526,0.93496,0.97701,0.98581,0.88865,0.45097,0.2186,0.8299,0.002476,0.002476,0.002476
154,36156,0.77194,0.46954,1.08567,0.93421,0.97701,0.98585,0.88928,0.45084,0.218,0.82992,0.0024265,0.0024265,0.0024265
155,36390.4,0.77556,0.46878,1.08688,0.93468,0.97701,0.98647,0.8895,0.45052,0.21709,0.82986,0.002377,0.002377,0.002377
156,36625,0.76724,0.46362,1.08296,0.93535,0.97701,0.98712,0.89088,0.44996,0.21648,0.82962,0.0023275,0.0023275,0.0023275
157,36859.6,0.76458,0.45928,1.07573,0.93976,0.97701,0.98713,0.89072,0.44942,0.21585,0.82941,0.002278,0.002278,0.002278
158,37094.2,0.76661,0.46555,1.08094,0.941,0.97701,0.98715,0.89027,0.44896,0.21608,0.82925,0.0022285,0.0022285,0.0022285
159,37328.5,0.7708,0.46852,1.08509,0.9416,0.97701,0.98716,0.8912,0.44878,0.21609,0.82914,0.002179,0.002179,0.002179
