epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.125,6.58036,11.0514,7.75346,0.67625,0.21289,0.1513,0.05146,3.97202,12.7587,4.87268,0.00332818,0.00332818,0.00332818
2,194.482,4.27776,4.89656,4.59882,0.76455,0.27761,0.2742,0.13037,3.34099,3.49246,3.76549,0.00662854,0.00662854,0.00662854
3,274.805,3.78971,3.79397,3.91148,0.86619,0.31269,0.3712,0.1975,3.07151,3.4486,3.33565,0.0098959,0.0098959,0.0098959
4,354.201,3.58218,3.31426,3.68088,0.86707,0.37537,0.41607,0.21292,3.11892,2.46946,3.26032,0.0098515,0.0098515,0.0098515
5,434.405,3.46634,3.04578,3.54377,0.86413,0.392,0.42567,0.22471,3.14182,2.23503,3.24741,0.009802,0.009802,0.009802
6,514.507,3.37747,2.83494,3.46465,0.89627,0.41269,0.45252,0.23169,3.25509,2.10575,3.23627,0.0097525,0.0097525,0.0097525
7,594.656,3.28297,2.67927,3.38924,0.9101,0.4209,0.48485,0.29034,2.67071,2.80316,2.85465,0.009703,0.009703,0.009703
8,674.733,3.20158,2.54793,3.32648,0.94222,0.41866,0.49491,0.32247,2.35072,1.6637,2.68615,0.0096535,0.0096535,0.0096535
9,754.538,3.12559,2.4789,3.2854,0.52634,0.49313,0.50514,0.32741,2.41226,1.84143,2.72635,0.009604,0.009604,0.009604
10,834.332,3.07599,2.36748,3.22907,0.92981,0.43881,0.53693,0.3499,2.40668,1.56992,2.71573,0.0095545,0.0095545,0.0095545
11,913.976,3.03179,2.33424,3.18774,0.47122,0.56433,0.52879,0.32422,2.62544,1.54694,2.85825,0.009505,0.009505,0.009505
12,994.042,2.9897,2.274,3.16467,0.54217,0.55836,0.55358,0.38615,2.18163,1.21788,2.57268,0.0094555,0.0094555,0.0094555
13,1074.76,2.95589,2.23614,3.12329,0.58983,0.53239,0.56328,0.38676,2.11518,1.80374,2.52185,0.009406,0.009406,0.009406
14,1154.42,2.91039,2.15923,3.10717,0.60439,0.53836,0.5699,0.40195,2.13589,1.81264,2.52009,0.0093565,0.0093565,0.0093565
15,1233.44,2.89539,2.17738,3.09704,0.52056,0.60433,0.57423,0.40362,2.09379,1.62227,2.51745,0.009307,0.009307,0.009307
16,1312.44,2.88665,2.15724,3.07937,0.6291,0.56247,0.59741,0.4325,1.93259,1.38742,2.42664,0.0092575,0.0092575,0.0092575
17,1391.96,2.85126,2.11249,3.0582,0.48979,0.68806,0.60499,0.41914,2.12364,1.21893,2.48499,0.009208,0.009208,0.009208
18,1471.46,2.8389,2.07947,3.04499,0.6321,0.63831,0.60239,0.41951,1.93292,1.29675,2.40518,0.0091585,0.0091585,0.0091585
19,1551.54,2.81008,2.0816,3.03357,0.47516,0.60507,0.58203,0.41897,1.97843,1.55769,2.41881,0.009109,0.009109,0.009109
20,1631.37,2.81082,2.06079,3.00674,0.67212,0.58806,0.60656,0.44284,1.85038,1.23662,2.35884,0.0090595,0.0090595,0.0090595
21,1711.56,2.77631,2.02448,3.00283,0.5996,0.64557,0.61198,0.45616,1.86534,1.03806,2.36429,0.00901,0.00901,0.00901
22,1791.87,2.77254,2.01433,2.9903,0.63857,0.62881,0.657,0.4869,1.70525,1.0069,2.28345,0.0089605,0.0089605,0.0089605
23,1871.98,2.74632,1.99576,2.98541,0.54949,0.61179,0.61405,0.45553,1.81577,0.9653,2.35856,0.008911,0.008911,0.008911
24,1952.68,2.74623,1.97132,2.98075,0.63035,0.54657,0.60039,0.45118,1.83033,1.12138,2.32971,0.0088615,0.0088615,0.0088615
25,2033.2,2.72515,1.95018,2.9646,0.69006,0.57985,0.61865,0.4555,1.8172,1.02726,2.35325,0.008812,0.008812,0.008812
26,2113.8,2.71768,1.94721,2.96012,0.53362,0.6503,0.60064,0.45509,1.79937,0.94654,2.29998,0.0087625,0.0087625,0.0087625
27,2194.24,2.7026,1.93698,2.94099,0.65368,0.68065,0.63681,0.46932,1.84772,0.9585,2.31761,0.008713,0.008713,0.008713
28,2274.08,2.7087,1.92878,2.94497,0.62642,0.61254,0.60771,0.45292,1.77284,0.96318,2.3097,0.0086635,0.0086635,0.0086635
29,2354.29,2.69596,1.92539,2.95177,0.62916,0.65808,0.66867,0.48384,1.85207,0.92338,2.3404,0.008614,0.008614,0.008614
30,2433.24,2.67494,1.89894,2.92482,0.60923,0.62955,0.63785,0.46324,1.85442,0.95071,2.35241,0.0085645,0.0085645,0.0085645
31,2513.84,2.66553,1.90597,2.91582,0.52112,0.67403,0.6067,0.46046,1.69507,0.89981,2.26016,0.008515,0.008515,0.008515
32,2594.27,2.67304,1.90235,2.91586,0.60925,0.64358,0.63138,0.47966,1.82812,0.8765,2.30789,0.0084655,0.0084655,0.0084655
33,2674.54,2.65259,1.89411,2.90819,0.61286,0.71254,0.64502,0.4924,1.7439,0.88706,2.26847,0.008416,0.008416,0.008416
34,2754.22,2.65879,1.88298,2.90772,0.7386,0.69254,0.71297,0.54321,1.74348,0.862,2.28802,0.0083665,0.0083665,0.0083665
35,2834.09,2.64321,1.86774,2.89424,0.65154,0.7503,0.67334,0.5227,1.73276,0.82222,2.27867,0.008317,0.008317,0.008317
36,2913.91,2.62894,1.8389,2.89466,0.68138,0.75104,0.75196,0.57695,1.79588,0.84057,2.29259,0.0082675,0.0082675,0.0082675
37,2994.47,2.61854,1.84414,2.89123,0.62826,0.75478,0.69743,0.53774,1.72508,0.83091,2.2671,0.008218,0.008218,0.008218
38,3074.53,2.62788,1.83652,2.89517,0.66801,0.68388,0.70484,0.54709,1.75434,0.84307,2.2767,0.0081685,0.0081685,0.0081685
39,3153.68,2.6031,1.81906,2.86626,0.63072,0.69254,0.68383,0.53184,1.70138,0.8316,2.24212,0.008119,0.008119,0.008119
40,3234.19,2.59621,1.8091,2.8681,0.62654,0.71493,0.69335,0.52574,1.74081,0.80403,2.26473,0.0080695,0.0080695,0.0080695
41,3314.13,2.60002,1.81198,2.86722,0.74598,0.6512,0.71741,0.54289,1.66433,0.80226,2.22653,0.00802,0.00802,0.00802
42,3393.73,2.57867,1.79692,2.84187,0.5684,0.75701,0.69303,0.52507,1.71646,0.80318,2.25324,0.0079705,0.0079705,0.0079705
43,3473.91,2.58859,1.8102,2.86385,0.76216,0.72284,0.77089,0.58218,1.6311,0.75205,2.20303,0.007921,0.007921,0.007921
44,3553.67,2.56818,1.783,2.83958,0.79041,0.69783,0.75027,0.57338,1.71168,0.77488,2.22921,0.0078715,0.0078715,0.0078715
45,3632.72,2.57593,1.79565,2.84367,0.73731,0.71328,0.78304,0.60476,1.73741,0.77125,2.26043,0.007822,0.007822,0.007822
46,3713.09,2.55877,1.77247,2.82616,0.61968,0.77552,0.73485,0.56905,1.64032,0.77902,2.1849,0.0077725,0.0077725,0.0077725
47,3792.67,2.54799,1.78349,2.83017,0.68089,0.81328,0.76546,0.60662,1.70003,0.75817,2.22908,0.007723,0.007723,0.007723
48,3872.97,2.56278,1.76844,2.84173,0.7126,0.75403,0.76184,0.6052,1.65899,0.76136,2.21139,0.0076735,0.0076735,0.0076735
49,3952.79,2.54847,1.75877,2.82075,0.68407,0.80324,0.74386,0.57993,1.72315,0.7676,2.23189,0.007624,0.007624,0.007624
50,4032.67,2.55264,1.76484,2.83093,0.75487,0.71179,0.74586,0.58747,1.68462,0.76472,2.22172,0.0075745,0.0075745,0.0075745
51,4112.73,2.53642,1.74166,2.81495,0.66505,0.75289,0.75444,0.60548,1.57372,0.73529,2.17652,0.007525,0.007525,0.007525
52,4193.22,2.537,1.72775,2.81746,0.63005,0.783,0.7461,0.59064,1.62483,0.74488,2.19561,0.0074755,0.0074755,0.0074755
53,4273.51,2.53735,1.7425,2.81919,0.71381,0.75858,0.76984,0.59969,1.67656,0.73765,2.19277,0.007426,0.007426,0.007426
54,4352.46,2.52019,1.74606,2.79706,0.66332,0.79328,0.74873,0.60088,1.60817,0.73069,2.16582,0.0073765,0.0073765,0.0073765
55,4431.68,2.52514,1.7325,2.80092,0.73517,0.77328,0.78405,0.61765,1.68288,0.75562,2.2065,0.007327,0.007327,0.007327
56,4510.96,2.51724,1.74067,2.79516,0.73308,0.75478,0.76488,0.59667,1.71151,0.76158,2.22304,0.0072775,0.0072775,0.0072775
57,4591.37,2.52252,1.71661,2.78413,0.70957,0.79422,0.7741,0.59864,1.68566,0.7515,2.20583,0.007228,0.007228,0.007228
58,4670.97,2.50604,1.70171,2.79328,0.69486,0.79627,0.76973,0.59597,1.60117,0.7247,2.16066,0.0071785,0.0071785,0.0071785
59,4750.96,2.51184,1.71045,2.80987,0.72053,0.81701,0.78368,0.61041,1.58683,0.7198,2.15569,0.007129,0.007129,0.007129
60,4831.18,2.48461,1.69112,2.77043,0.7108,0.81627,0.76871,0.60859,1.5782,0.71957,2.15516,0.0070795,0.0070795,0.0070795
61,4911.77,2.51059,1.71733,2.79229,0.74348,0.75254,0.77061,0.61252,1.58745,0.72394,2.15873,0.00703,0.00703,0.00703
62,4991.58,2.49404,1.72965,2.79099,0.73117,0.83254,0.79897,0.63054,1.53681,0.7238,2.13887,0.0069805,0.0069805,0.0069805
63,5070.72,2.49128,1.71444,2.78575,0.69632,0.77403,0.77136,0.60598,1.5367,0.71912,2.13613,0.006931,0.006931,0.006931
64,5150.49,2.46337,1.69251,2.76863,0.70572,0.74603,0.76793,0.61767,1.54284,0.72062,2.13673,0.0068815,0.0068815,0.0068815
65,5230.61,2.46503,1.71379,2.77203,0.66228,0.83627,0.7768,0.61392,1.52966,0.70832,2.13217,0.006832,0.006832,0.006832
66,5311.06,2.46514,1.6961,2.75875,0.7616,0.73214,0.79105,0.62698,1.53721,0.70513,2.13218,0.0067825,0.0067825,0.0067825
67,5391.15,2.47919,1.71202,2.76998,0.81395,0.71104,0.79314,0.62293,1.50781,0.71325,2.11493,0.006733,0.006733,0.006733
