epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6829,3.01074,3.32294,3.49259,0.86847,0.30522,0.33894,0.17548,1.68455,2.26653,2.21785,0.00332818,0.00332818,0.00332818
2,125.079,1.98356,1.85259,2.13087,0.85656,0.37313,0.39068,0.22821,1.39509,2.40005,1.59601,0.00662854,0.00662854,0.00662854
3,181.65,1.82479,1.62607,1.87624,0.8848,0.35395,0.3986,0.20913,1.4945,2.00488,1.59462,0.0098959,0.0098959,0.0098959
4,237.347,1.72512,1.4747,1.77438,0.92164,0.41642,0.46332,0.23579,1.6115,1.91082,1.57413,0.0098515,0.0098515,0.0098515
5,293.171,1.66833,1.3546,1.71234,0.92043,0.40821,0.47876,0.25882,1.49765,1.4653,1.50083,0.009802,0.009802,0.009802
6,349.172,1.6193,1.26025,1.66924,0.93525,0.43881,0.50276,0.2705,1.56805,1.37167,1.52294,0.0097525,0.0097525,0.0097525
7,405.384,1.58253,1.19618,1.64339,0.36665,0.5406,0.50601,0.27367,1.56547,0.99153,1.51111,0.009703,0.009703,0.009703
8,462.077,1.56015,1.15164,1.62215,0.40714,0.57194,0.52565,0.31828,1.36911,0.8262,1.37738,0.0096535,0.0096535,0.0096535
9,518.207,1.52976,1.12185,1.60691,0.51471,0.57571,0.55685,0.35326,1.29944,0.88989,1.35459,0.009604,0.009604,0.009604
10,573.88,1.50672,1.08207,1.57604,0.44904,0.65328,0.56914,0.33503,1.36159,1.00863,1.39869,0.0095545,0.0095545,0.0095545
11,629.119,1.48721,1.05849,1.56123,0.54915,0.56358,0.59937,0.37206,1.37959,0.86723,1.37941,0.009505,0.009505,0.009505
12,685.074,1.4626,1.03866,1.54555,0.47145,0.64881,0.58025,0.36837,1.27103,0.73057,1.3212,0.0094555,0.0094555,0.0094555
13,739.841,1.44833,1.02459,1.53083,0.54988,0.61506,0.62022,0.38327,1.24522,0.721,1.30985,0.009406,0.009406,0.009406
14,795.749,1.4229,0.99614,1.5152,0.62238,0.58945,0.6364,0.41221,1.22535,0.67469,1.28257,0.0093565,0.0093565,0.0093565
15,851.185,1.41566,0.99666,1.5076,0.54388,0.63328,0.62822,0.40816,1.18821,0.71026,1.27655,0.009307,0.009307,0.009307
16,906.409,1.39696,0.98471,1.4952,0.57363,0.7285,0.646,0.43705,1.13349,0.67853,1.24019,0.0092575,0.0092575,0.0092575
17,962.723,1.37496,0.96618,1.48357,0.51315,0.67254,0.62823,0.425,1.14449,0.81287,1.24087,0.009208,0.009208,0.009208
18,1018.85,1.36544,0.95413,1.47295,0.68859,0.63377,0.71702,0.47454,1.1743,0.72863,1.24642,0.0091585,0.0091585,0.0091585
19,1074.77,1.35473,0.94575,1.47068,0.68123,0.68542,0.65598,0.42101,1.19263,0.61759,1.26981,0.009109,0.009109,0.009109
20,1130.57,1.34879,0.93595,1.45868,0.55928,0.65221,0.64508,0.46685,0.93104,0.63571,1.12582,0.0090595,0.0090595,0.0090595
21,1186.45,1.3367,0.92869,1.45422,0.55712,0.7303,0.6355,0.44938,0.98882,0.66553,1.15273,0.00901,0.00901,0.00901
22,1242.35,1.33213,0.9204,1.44719,0.65181,0.65254,0.66361,0.46672,0.98949,0.85384,1.14764,0.0089605,0.0089605,0.0089605
23,1298.39,1.31874,0.91549,1.4391,0.58277,0.57254,0.59975,0.41731,1.03452,0.70194,1.19065,0.008911,0.008911,0.008911
24,1354.17,1.31338,0.90313,1.43376,0.54719,0.65478,0.62239,0.4343,1.02816,0.74537,1.17259,0.0088615,0.0088615,0.0088615
25,1410.12,1.30405,0.89441,1.42279,0.55149,0.65104,0.6501,0.4717,0.90537,0.5242,1.10693,0.008812,0.008812,0.008812
26,1465.95,1.30294,0.88604,1.42378,0.5564,0.69403,0.6269,0.46656,0.8471,0.50025,1.06814,0.0087625,0.0087625,0.0087625
27,1522.07,1.29528,0.88559,1.42106,0.74752,0.58657,0.62922,0.44537,0.95234,0.56177,1.11966,0.008713,0.008713,0.008713
